CompName,Ehull,(cbrt(NNaLst)+(AnionChgStdLst)^2),((EWaldSumLst)^2*(XWithNaLst*RDiffStdLst))
MgZr(SO4)3,-60.260567,0.0,0.0
MgTi(SO4)3,-27.986572,0.0,125.96024322509766
MgSn(SO4)3,-30.640966,0.0,46.10945129394531
Mg4Nb2(SO4)9,-42.783127,0.0,79.65130615234375
ZrZn(SO4)3,-40.419098,0.0,24.25345230102539
TiZn(SO4)3,-33.031055,0.0,197.34197998046875
Nb2Zn4(SO4)9,-68.298454,0.0,146.327392578125
Ta2Zn4(SO4)9,-81.48484,0.0,139.96044921875
CaZr(SO4)3,-28.642538,0.0,141.5548858642578
CaTi(SO4)3,-21.730007,0.0,292.8807067871094
CaSn(SO4)3,-19.951042,0.0,363.9143371582031
Ca4Nb2(SO4)9,-47.464592,0.0,199.53208923339844
Ca4Ta2(SO4)9,-48.58496,0.0,175.46429443359375
LaGa(SO4)3,-79.50395,0.0,458.5235290527344
YSc(SO4)3,-4.377405,0.0,118.94905090332031
ScIn(SO4)3,-2.0288022,0.0,75.49154663085938
Y2(SO4)3,-0.34387255,0.0,0.0
MgZr3P2(SO6)4,-37.7324,0.2222222238779068,0.0
MgZr3SiS5O24,-41.04948,0.555555522441864,0.0
MgTi3P2(SO6)4,-36.86529,0.2222222238779068,113.96984100341797
MgSn3P2(SO6)4,-18.794538,0.2222222238779068,45.69804000854492
Hf3MgP2(SO6)4,-114.10784,0.2222222238779068,6.558367729187012
Mg2Nb2SiS5O24,-0.54571384,0.555555522441864,87.68284606933594
Zr3ZnP2(SO6)4,-29.00833,0.2222222238779068,16.718975067138672
Ti3ZnP2(SO6)4,-40.845966,0.2222222238779068,154.02755737304688
NbZnP(SO6)2,-16.79381,0.2222222238779068,143.62464904785156
Nb2Zn2SiS5O24,-23.425417,0.555555522441864,144.96719360351562
TaZnP(SO6)2,-7.827291,0.2222222238779068,133.69276428222656
Ta2Zn2SiS5O24,-40.02059,0.555555522441864,134.93942260742188
CaZr3P2(SO6)4,-24.096571,0.2222222238779068,154.5748291015625
CaZr3SiS5O24,-29.57267,0.555555522441864,155.46107482910156
CaTi3P2(SO6)4,-21.90853,0.2222222238779068,333.8636779785156
CaTi3SiS5O24,-5.1057863,0.555555522441864,337.1758728027344
CaSn3P2(SO6)4,-2.971292,0.2222222238779068,426.0383605957031
CaHf3P2(SO6)4,-101.365265,0.2222222238779068,149.9669647216797
GaSnP(SO6)2,-0.09932882,0.2222222238779068,135.2039337158203
HfGaP(SO6)2,-44.67043,0.2222222238779068,114.52465057373047
Hf2Ga2SiS5O24,-58.919296,0.555555522441864,115.26145935058594
NbGa3P2(SO6)4,-5.080095,0.2222222238779068,29.612119674682617
TaGa3P2(SO6)4,-2.937227,0.2222222238779068,28.719179153442383
HfAlP(SO6)2,-40.192535,0.2222222238779068,188.82069396972656
Hf2Al2SiS5O24,-49.126015,0.555555522441864,190.17019653320312
TaAl3P2(SO6)4,-3.6829624,0.2222222238779068,124.24691772460938
ZrScP(SO6)2,-6.6286144,0.2222222238779068,20.834611892700195
Zr2Sc2SiS5O24,-13.600695,0.555555522441864,20.95750617980957
ScTiP(SO6)2,-6.18169,0.2222222238779068,148.3177032470703
HfScP(SO6)2,-47.173515,0.2222222238779068,28.243995666503906
Hf2Sc2SiS5O24,-70.35788,0.555555522441864,28.51130485534668
Sc3NbP2(SO6)4,-7.671406,0.2222222238779068,90.67012786865234
Sc3TaP2(SO6)4,-5.2465777,0.2222222238779068,86.154541015625
Y2Zr2SiS5O24,-7.3186603,0.555555522441864,124.2614517211914
Y2Hf2SiS5O24,-60.094666,0.555555522441864,126.00987243652344
Zr2In2SiS5O24,-7.2481947,0.555555522441864,100.56330108642578
HfInP(SO6)2,-38.347584,0.2222222238779068,110.16714477539062
NbIn3P2(SO6)4,-0.7077254,0.2222222238779068,224.86703491210938
LaZrP(SO6)2,-44.216064,0.2222222238779068,174.35142517089844
LaTiP(SO6)2,-33.41842,0.2222222238779068,330.7174072265625
La2Ti2SiS5O24,-56.78667,0.555555522441864,334.0611572265625
LaSnP(SO6)2,-35.97153,0.2222222238779068,401.25921630859375
La2SiSn2S5O24,-30.345175,0.555555522441864,406.0119934082031
La2SiGe2S5O24,-35.28071,0.555555522441864,629.69140625
Mg2Nb4P6(SO12)3,-22.950823,0.2222222238779068,84.49607849121094
Mg2Ta4P6(SO12)3,-21.958544,0.2222222238779068,74.97095489501953
Mg2Ta4Si3(SO6)6,-11.387828,0.8888888955116272,75.9471435546875
Nb4Zn2P6(SO12)3,-33.076084,0.2222222238779068,126.13817596435547
Nb4Zn2Si3(SO6)6,-12.375233,0.8888888955116272,128.0808868408203
Ta4Zn2P6(SO12)3,-31.78235,0.2222222238779068,114.32456970214844
Ca2Nb4P6(SO12)3,-7.409281,0.2222222238779068,309.2652282714844
NbGaP2SO12,-18.308174,0.2222222238779068,30.172271728515625
TaGaP2SO12,-14.309987,0.2222222238779068,28.24000358581543
NbAlP2SO12,-4.1411633,0.2222222238779068,138.56216430664062
TaAlP2SO12,-13.26734,0.2222222238779068,128.9988250732422
ScNbP2SO12,-5.6300116,0.2222222238779068,110.8709487915039
ScTaP2SO12,-0.17211926,0.2222222238779068,100.90980529785156
NbInP2SO12,-0.33872876,0.2222222238779068,232.110595703125
LaNbSi(SO6)2,-28.370733,0.8888888955116272,312.647705078125
LaTaP2SO12,-11.174497,0.2222222238779068,272.2442626953125
LaTaSi(SO6)2,-56.48914,0.8888888955116272,275.7745666503906
