CompName,NewEhullLst,EWaldSumLst,EFormLst,RDiffLst,RDiffStdLst,RDiffNaLst,EleNegStdLst,XDiffLst,AnionXStdLst,XWithNaLst,ChgDiffLst,ChgStdLst,AnionChgStdLst,NNaLst,RRatioNaLst
MgZr(SO4)3,-60.26056693521266,-65.92115378457963,-1.891754725490195,0.0,0.0,-0.30000000000000004,0.010000000000000009,0.020000000000000018,0.0,0.39,2.0,1.0,0.0,0.0,0.7058823529411764
MgTi(SO4)3,-27.986571837184684,-66.52428450682973,-1.8286612009803915,0.11499999999999999,0.057499999999999996,-0.35750000000000004,0.11499999999999999,0.22999999999999998,0.0,0.495,2.0,1.0,0.0,0.0,0.6495098039215685
MgSn(SO4)3,-30.64096644501392,-66.03205111650415,-1.5545682916666714,0.030000000000000027,0.015000000000000013,-0.31500000000000006,0.32499999999999996,0.6499999999999999,0.0,0.7050000000000002,2.0,1.0,0.0,0.0,0.6911764705882353
Mg4Nb2(SO4)9,-42.78312693527414,-66.56519337036545,-1.7501078654684286,0.07999999999999996,0.03771236166328251,-0.32666666666666666,0.1367073110293992,0.29000000000000004,0.0,0.4766666666666669,3.0,1.4142135623730951,0.0,0.0,0.6797385620915033
ZrZn(SO4)3,-40.419096346974506,-65.81013645368108,-1.6993545500000007,0.020000000000000018,0.010000000000000009,-0.29000000000000004,0.15999999999999992,0.31999999999999984,0.0,0.5599999999999999,2.0,1.0,0.0,0.0,0.7156862745098039
TiZn(SO4)3,-33.03105713129252,-66.30511427655004,-1.609961344117646,0.135,0.0675,-0.34750000000000003,0.05499999999999994,0.10999999999999988,0.0,0.6649999999999997,2.0,1.0,0.0,0.0,0.6593137254901961
Nb2Zn4(SO4)9,-68.29845237101448,-66.43322508027839,-1.4424319138888888,0.09999999999999998,0.04714045207910316,-0.31333333333333324,0.0235702260395515,0.04999999999999982,0.0,0.7033333333333335,3.0,1.4142135623730951,0.0,0.0,0.69281045751634
Ta2Zn4(SO4)9,-81.48484207688817,-66.56844443257755,-1.4720133673202613,0.09999999999999998,0.04714045207910316,-0.31333333333333324,0.07071067811865471,0.1499999999999999,0.0,0.67,3.0,1.4142135623730951,0.0,0.0,0.69281045751634
CaZr(SO4)3,-28.642537523453928,-65.59405846349708,-1.9840389764705908,0.28,0.14,-0.15999999999999992,0.16500000000000004,0.33000000000000007,0.0,0.235,2.0,1.0,0.0,0.0,0.8431372549019609
CaTi(SO4)3,-21.730008111684363,-66.04232960817234,-1.8953814372549023,0.395,0.1975,-0.21750000000000003,0.27,0.54,0.0,0.33999999999999997,2.0,1.0,0.0,0.0,0.7867647058823529
CaSn(SO4)3,-19.951042425410694,-65.33597243270944,-1.6354330647058835,0.31000000000000005,0.15500000000000003,-0.17500000000000004,0.48,0.96,0.0,0.5499999999999999,2.0,1.0,0.0,0.0,0.8284313725490196
Ca4Nb2(SO4)9,-47.464593710861806,-65.98973373657324,-1.8399560666666697,0.36,0.16970562748477142,-0.14,0.28284271247461906,0.6000000000000001,0.0,0.27000000000000013,3.0,1.4142135623730951,0.0,0.0,0.8627450980392157
Ca4Ta2(SO4)9,-48.58496135792084,-66.09638570331934,-1.8805874637254878,0.36,0.16970562748477142,-0.14,0.23570226039551584,0.5,0.0,0.2366666666666667,3.0,1.4142135623730951,0.0,0.0,0.8627450980392157
LaGa(SO4)3,-79.50394928814943,-65.11297961761862,-1.7094139686274519,0.41200000000000003,0.20600000000000002,-0.19399999999999995,0.355,0.71,0.0,0.525,0.0,0.0,0.0,0.0,0.8098039215686275
YSc(SO4)3,-4.377405170498019,-65.29477195680298,-2.133987838235293,0.15500000000000003,0.07750000000000001,-0.1975,0.07000000000000006,0.14000000000000012,0.0,0.36,0.0,0.0,0.0,0.0,0.8063725490196079
ScIn(SO4)3,-2.028802229320128,-65.49269267050593,-1.7736581588235338,0.05500000000000005,0.027500000000000024,-0.24750000000000005,0.20999999999999996,0.41999999999999993,0.0,0.6399999999999998,0.0,0.0,0.0,0.0,0.7573529411764706
Y2(SO4)3,-0.34387254902501496,-64.96858264594574,-2.169994794117647,0.0,0.0,-0.1200000000000001,0.0,0.0,0.0,0.2899999999999999,0.0,0.0,0.0,0.0,0.8823529411764705
MgZr3P2(SO6)4,-37.732398627152726,-63.55520883314838,-2.1929463529411772,0.0,0.0,-0.30000000000000004,0.008660254037844393,0.020000000000000018,0.1838477631085024,0.39500000000000013,2.0,0.8660254037844386,0.4714045207910317,0.0,0.7058823529411764
MgZr3SiS5O24,-41.049478934950635,-63.740066716115166,-2.0951770392156845,0.0,0.0,-0.30000000000000004,0.008660254037844393,0.020000000000000018,0.25342103744997624,0.39500000000000013,2.0,0.8660254037844386,0.7453559924999298,0.0,0.7058823529411764
MgTi3P2(SO6)4,-36.86529078401746,-64.36200872386169,-2.067672426470588,0.11499999999999999,0.04979646071760521,-0.38625,0.09959292143521045,0.22999999999999998,0.1838477631085024,0.5524999999999999,2.0,0.8660254037844386,0.4714045207910317,0.0,0.6213235294117647
MgSn3P2(SO6)4,-18.79453833300638,-63.68000954267025,-1.6658719264705886,0.030000000000000027,0.01299038105676659,-0.3225,0.2814582562299425,0.6499999999999999,0.1838477631085024,0.8674999999999998,2.0,0.8660254037844386,0.4714045207910317,0.0,0.6838235294117647
Hf3MgP2(SO6)4,-114.10783980361317,-63.7652990155867,-2.1757779950980387,0.010000000000000009,0.004330127018922198,-0.3075000000000001,0.004330127018922197,0.010000000000000009,0.1838477631085024,0.37250000000000016,2.0,0.8660254037844386,0.4714045207910317,0.0,0.6985294117647057
